0.0	0.0	eco05
20.0	4.0	eco05
40.0	4.4	eco05
60.0	5.2	eco05
80.0	5.9	eco05
100.0	6.3	eco05
120.0	7.5	eco05
140.0	8.4	eco05
160.0	9.0	eco05
180.0	9.8	eco05
200.0	10.9	eco05
220.0	11.6	eco05
240.0	12.4	eco05
260.0	12.8	eco05
280.0	13.7	eco05
300.0	14.3	eco05
320.0	15.1	eco05
340.0	15.7	eco05
360.0	15.8	eco05
380.0	16.3	eco05
400.0	16.8	eco05
420.0	17.4	eco05
440.0	18.9	eco05
460.0	19.9	eco05
480.0	20.7	eco05
500.0	21.0	eco05
520.0	21.1	eco05
540.0	21.6	eco05
560.0	22.2	eco05
580.0	22.4	eco05
600.0	22.9	eco05
