0.0	0.0	eco01
10.0	3.6	eco01
20.0	3.8	eco01
30.0	3.9	eco01
40.0	3.9	eco01
50.0	4.0	eco01
70.0	4.0	eco01
80.0	4.1	eco01
90.0	4.1	eco01
100.0	4.2	eco01
110.0	4.5	eco01
120.0	4.5	eco01
130.0	4.6	eco01
140.0	4.6	eco01
150.0	4.7	eco01
160.0	4.8	eco01
170.0	4.8	eco01
180.0	4.9	eco01
190.0	5.0	eco01
200.0	5.0	eco01
210.0	5.1	eco01
220.0	5.1	eco01
230.0	5.2	eco01
240.0	5.2	eco01
250.0	5.3	eco01
280.0	5.3	eco01
290.0	5.5	eco01
300.0	5.5	eco01
310.0	5.6	eco01
320.0	5.6	eco01
330.0	5.9	eco01
340.0	6.1	eco01
350.0	6.2	eco01
360.0	6.3	eco01
370.0	6.3	eco01
380.0	6.5	eco01
390.0	6.5	eco01
400.0	6.7	eco01
440.0	6.7	eco01
450.0	7.0	eco01
460.0	7.0	eco01
470.0	7.1	eco01
480.0	7.1	eco01
490.0	7.2	eco01
500.0	7.4	eco01
510.0	7.5	eco01
530.0	7.5	eco01
540.0	7.7	eco01
590.0	7.7	eco01
600.0	7.8	eco01
