0.0	50.0	eco5
10.0	44.1	eco5
20.0	40.6	eco5
30.0	35.9	eco5
40.0	33.4	eco5
50.0	31.0	eco5
60.0	29.6	eco5
70.0	27.1	eco5
80.0	26.0	eco5
90.0	24.5	eco5
100.0	23.2	eco5
110.0	22.4	eco5
120.0	21.6	eco5
130.0	20.9	eco5
140.0	20.3	eco5
150.0	19.6	eco5
160.0	19.2	eco5
170.0	19.0	eco5
180.0	18.7	eco5
190.0	18.2	eco5
200.0	17.7	eco5
210.0	17.7	eco5
220.0	17.5	eco5
230.0	17.0	eco5
240.0	16.8	eco5
250.0	16.6	eco5
260.0	16.2	eco5
270.0	15.9	eco5
280.0	15.8	eco5
290.0	15.5	eco5
300.0	15.4	eco5
310.0	15.1	eco5
320.0	15.0	eco5
330.0	14.7	eco5
340.0	14.7	eco5
350.0	14.5	eco5
360.0	14.3	eco5
370.0	14.2	eco5
390.0	14.2	eco5
400.0	14.1	eco5
410.0	14.0	eco5
420.0	13.8	eco5
430.0	13.6	eco5
440.0	13.5	eco5
450.0	13.3	eco5
460.0	13.1	eco5
470.0	13.1	eco5
480.0	12.8	eco5
490.0	12.7	eco5
500.0	12.4	eco5
510.0	12.4	eco5
520.0	12.0	eco5
530.0	12.0	eco5
540.0	11.9	eco5
550.0	11.8	eco5
560.0	11.6	eco5
570.0	11.1	eco5
580.0	10.9	eco5
590.0	10.7	eco5
600.0	10.6	eco5
